name,role,pick_rate,normalized_pick_rate,win_rate,normalized_win_rate
Psylocke,Duelist,13.55,4.516817227240908,51.92,3.200177513698757
The Punisher,Duelist,12.52,4.173472449081637,47.3,2.91541595527641
Namor,Duelist,10.39,3.463448781626055,49.13,3.028211118028119
Winter Soldier,Duelist,10.27,3.4234474482482757,45.21,2.786595250275824
Star-Lord,Duelist,9.13,3.0434347811593727,51.0,3.1434717488181163
Iron Man,Duelist,6.69,2.230074335811194,52.7,3.248254140445387
Hela,Duelist,6.31,2.1034034467815594,51.26,3.1594972910669936
Black Panther,Duelist,5.76,1.9200640021334048,52.34,3.2260649281007887
Magik,Duelist,4.93,1.643388112937098,54.15,3.337627356833353
Moon Knight,Duelist,4.59,1.5300510017000568,42.99,2.649761774150801
Wolverine,Duelist,4.48,1.493383112770426,52.16,3.214970321928489
Hawkeye,Duelist,3.6,1.200040001333378,49.89,3.0750550107556047
Spider- Man,Duelist,2.47,0.8233607786926233,49.13,3.028211118028119
Iron Fist,Duelist,1.6,0.5333511117037236,54.0,3.3283818516897705
Squirrel Girl,Duelist,1.27,0.42334744491483056,41.57,2.562237658791551
Storm,Duelist,0.94,0.31334377812593756,50.37,3.104640627215069
Black Widow,Duelist,0.8,0.2666755558518618,39.41,2.42910238472396
Scarlet Witch,Duelist,0.69,0.23000766692223076,43.02,2.6516108751795175
