name,role,pick_rate,normalized_pick_rate,win_rate,normalized_win_rate
Hela,Duelist,12.86,4.286380907939471,54.24,3.3042747226638887
Moon Knight,Duelist,9.53,3.176454903006466,46.35,2.8236197159932015
Psylocke,Duelist,9.2,3.0664622358509432,51.68,3.1483207534526136
The Punisher,Duelist,8.68,2.8931404573028465,46.48,2.831539253492211
Hawkeye,Duelist,7.61,2.5364975668288783,48.91,2.979573685204476
Winter Soldier,Duelist,6.49,2.163189120725285,47.97,2.922309337134711
Scarlet Witch,Duelist,6.25,2.0831944537030864,46.97,2.8613898179115567
Star-Lord,Duelist,6.24,2.0798613425771615,48.86,2.9765277092433187
Iron Man,Duelist,5.92,1.9732017865475637,49.38,3.008205859239359
Spider- Man,Duelist,4.7,1.566562229184721,50.48,3.0752173303848283
Namor,Duelist,4.34,1.4465702286514233,51.25,3.1221253601866574
Magik,Duelist,4.02,1.339910672621825,53.63,3.2671138159377646
Iron Fist,Duelist,3.9,1.299913339110726,49.55,3.018562177507295
Black Panther,Duelist,3.48,1.1599226718218785,52.6,3.204366711137916
Squirrel Girl,Duelist,2.93,0.976601559896007,44.78,2.7279760708128493
Wolverine,Duelist,1.95,0.649956669555363,48.04,2.926573703480332
Black Widow,Duelist,1.21,0.4033064462369175,41.07,2.5019646544949468
Storm,Duelist,0.69,0.22998466768882073,49.68,3.0264817150063053
