name,role,pick_rate,normalized_pick_rate,win_rate,normalized_win_rate
The Punisher,Duelist,8.14,2.713604693802714,46.46,2.8107663361424864
Moon Knight,Duelist,8.05,2.683601693502684,47.52,2.874894883630886
Iron Man,Duelist,7.69,2.563589692302564,49.06,2.968062773378183
Scarlet Witch,Duelist,7.44,2.4802480248024805,49.83,3.0146467182518313
Star-Lord,Duelist,7.2,2.4002400240024,48.68,2.9450732940898887
Hawkeye,Duelist,6.99,2.3302330233023305,47.89,2.8972793766221194
Psylocke,Duelist,6.81,2.2702270227022705,50.08,3.0297713756783407
Winter Soldier,Duelist,6.78,2.260226022602261,47.26,2.8591652399073157
Spider-Man,Duelist,6.56,2.186885355202187,48.47,2.932368581851621
Hela,Duelist,6.36,2.1202120212021205,52.86,3.197957566261124
Iron Fist,Duelist,5.62,1.8735206854018738,51.36,3.107209621702068
Magik,Duelist,4.62,1.5401540154015403,52.67,3.186462826616977
Squirrel Girl,Duelist,3.76,1.2534586792012536,48.22,2.9172439244251116
Black Panther,Duelist,3.39,1.1301130113011304,49.17,2.974717622645847
Wolverine,Duelist,3.23,1.0767743441010769,47.96,2.901514280701542
Black Widow,Duelist,2.93,0.9767643431009769,44.15,2.6710145015215403
Namor,Duelist,2.76,0.9200920092009202,52.16,3.155608525466898
Storm,Duelist,1.66,0.5533886722005534,49.01,2.965037841892881
